words,emotion,color,orientation,sentiment,subjectivity,source
شاقة,sadness,,,negative,strong,opinion
مروع,anticipation,,,negative,strong,opinion
مصاب بالدوار,sadness,,,negative,strong,emolex
انبهار,surprise,,active,positive,strong,opinion
مبهور,surprise,,,positive,strong,opinion
باهر,joy,yellow,,positive,strong,opinion
عطل,anger,grey,,negative,,emolex
ميت,sadness,,passive,negative,weak,opinion
ميتا رخيصة,sadness,,,positive,,opinion
ميت على,sadness,,,positive,,opinion
مرهق,anticipation,,,negative,strong,opinion
مأزق,fear,black,,negative,strong,emolex
قابل للمناقشة,trust,,,negative,strong,opinion
النقاش,trust,,active,positive,strong,emolex
فسوق,Disgust,,,negative,strong,opinion
الفاسق,anger,,,negative,strong,opinion
وهن,sadness,,,negative,weak,opinion
منحط,Disgust,,,negative,strong,opinion
الوفاة,sadness,,active,,,inquirer
بمكر,anger,,,negative,strong,opinion
خداع,Disgust,,,negative,strong,opinion
خداع,anger,,,negative,strong,opinion
المخادعون,fear,,,negative,strong,opinion
آداب,trust,,,positive,weak,emolex
لائق,trust,white,,positive,weak,emolex
خداع,fear,,active,negative,strong,emolex
مخادع,fear,,,negative,strong,emolex
بشكل مخادع,anger,,,negative,strong,opinion
متداع للسقوط,sadness,brown,,negative,strong,emolex
تداع,fear,,,negative,strong,opinion
تفان,trust,green,,positive,,emolex
نستنتج,anticipation,,active,positive,strong,mpqa
افتراءات,anger,,,negative,strong,opinion
قذف,anger,,active,negative,strong,opinion
هزيمة,sadness,,active,negative,weak,emolex
قهر,sadness,,,positive,,opinion
الهزائم,sadness,,,positive,,opinion
عيوب,sadness,,,negative,,opinion
الدفاع,anger,,,positive,,emolex
دفاعي,anger,,passive,negative,weak,opinion
العجز,sadness,,,negative,,emolex
انحطاط,sadness,,,negative,strong,opinion
انحلال,deger,grey,,negative,strong,emolex
الدرجة العلمية,trust,,,positive,,emolex
التجريد من الإنسانية,Disgust,,,negative,strong,opinion
التجريد من الإنسانية,anger,,,negative,strong,opinion
كآبة,sadness,,,negative,strong,opinion
معوق,sadness,,,negative,,opinion
التأخير,surprise,,,negative,,opinion
لذيذ,joy,,,positive,strong,emolex
متعمد,anger,grey,active,positive,,emolex
رقة,joy,pink,,positive,weak,opinion
دقيق او حساس,fear,,,positive,weak,opinion
مبهج,joy,,,positive,strong,opinion
عذوبة,joy,,,positive,strong,opinion
حط من قدر,sadness,,active,negative,strong,opinion
مهينة,Disgust,,,negative,strong,opinion
ديمقراطية,trust,,,positive,,emolex
ديمقراطي,trust,,,positive,weak,mpqa
المدمر,anger,,,negative,weak,opinion
هدم,anger,black,,negative,,emolex
هدم,sadness,black,,negative,,emolex
يتظاهر,fear,,active,,,inquirer
تظاهر,fear,green,,,,colour
برهنة,trust,yellow,active,,,inquirer
أربك,surprise,,,negative,strong,opinion
إزالة الغموض,trust,,,positive,strong,mpqa
إنكار,sadness,,,negative,strong,emolex
شوه سمعة,sadness,,,negative,strong,opinion
الخدوش,sadness,,,negative,,opinion
استنكارات,anger,,,negative,strong,opinion
الجدارة,trust,,,positive,,inquirer
جدير بالثقة,trust,,,positive,weak,opinion
بثقة,trust,,,positive,,opinion
استنزاف,sadness,,,negative,weak,opinion
نفاذ,sadness,black,,,,colour
بحزن شديد,sadness,,,negative,strong,opinion
يستنكر,anger,,,negative,strong,opinion
تحرم,sadness,,active,negative,strong,opinion
محروم,sadness,,,negative,strong,opinion
مهجور,fear,,,negative,,emolex
سخر,anger,,active,negative,strong,opinion
ساخر,anger,,,negative,strong,opinion
بسخرية,anger,,,negative,strong,opinion
السخرية,joy,,,negative,strong,opinion
دنس,anger,,,negative,strong,opinion
هجر,sadness,,,negative,strong,emolex
استحق,joy,,,positive,strong,emolex
باستحقاق,joy,,,positive,strong,opinion
مستحق,joy,,,positive,strong,opinion
التصميم,joy,,active,,,inquirer
مرغوب فيه,trust,red,,positive,strong,emolex
رغبة,joy,,passive,positive,strong,mpqa
ورغبة منها,joy,,,positive,,emolex
متلهف,joy,,,positive,strong,emolex
بيأس,sadness,,,negative,strong,opinion
يائس,sadness,,,negative,strong,emolex
فاقد الامل,sadness,,,negative,strong,opinion
يأس,anticipation,,,negative,strong,opinion
مقيتة,anger,,,negative,strong,opinion
مزدري,anticipation,,,negative,strong,opinion
على الرغم من,sadness,,,negative,strong,mpqa
سلب,anger,,,negative,strong,opinion
يفتك,anger,,,negative,strong,opinion
قنوط,anger,,,negative,strong,opinion
جزع,anticipation,,,negative,strong,opinion
الاحباط,anticipation,,,negative,strong,opinion
مستبد,anger,,,negative,strong,opinion
زعزعة الاستقرار,fear,,,negative,strong,opinion
مصائر,fear,,,positive,strong,mpqa
مصير,fear,,,positive,strong,opinion
فقر مدقع,sadness,,,negative,strong,opinion
هدم,anger,,active,negative,weak,opinion
مفكك,fear,,,negative,strong,opinion
انفصال,fear,,,positive,,opinion
انفصال,anger,black,,negative,,emolex
التفاصيل,trust,black,,,,colour
ردع,anger,,active,negative,weak,opinion
كرهت,anger,,,negative,,opinion
كرهه,anger,,,negative,,opinion
يحتقر,anger,,,negative,,opinion
التفاف,fear,grey,,,,colour
انتقص,Disgust,,,negative,,opinion
ينقص,fear,,,negative,,opinion
انتقاص,sadness,,,negative,weak,opinion
ينتقص,sadness,,,negative,,opinion
ضرر,sadness,,,negative,strong,emolex
ضار,sadness,,,negative,strong,emolex
تفتت,anger,brown,,negative,,emolex
دمر,anger,,,negative,strong,opinion
تدمر,anger,,,negative,,opinion
مدمر,deger,,,negative,strong,opinion
تطوير,trust,,active,,,inquirer
انحرف,fear,grey,active,negative,weak,opinion
إلى حد بعيد,trust,,,negative,strong,opinion
سلوك شيطانى,fear,,,negative,strong,opinion
الملتوية,fear,,,negative,strong,emolex
مراوغة,fear,,,negative,strong,opinion
ابتكار,joy,black,,,,colour
كرس,trust,,active,positive,strong,mpqa
متعصب,surprise,,,positive,strong,mpqa
إخلاص,trust,,passive,positive,strong,mpqa
افترس,sadness,,,negative,,emolex
حاذق,trust,,,positive,strong,opinion
بمهارة,trust,,,positive,strong,opinion
سكر العنب,joy,white,,,,colour
الماس,joy,white,,,,colour
الاعجاز,trust,pink,,,,colour
حجر النرد,fear,white,,,,colour
عنيد,fear,,,negative,,opinion
مات,sadness,,,negative,,opinion
يموت,sadness,,,negative,,opinion
فرق,sadness,,,,weak,mpqa
عدم ثقة بالنفس,sadness,,,negative,strong,opinion
حفر,surprise,brown,active,negative,weak,mpqa
استوعب,trust,orange,,,,colour
جليل,trust,,,positive,strong,emolex
احترم,trust,,active,positive,weak,opinion
معضلة,fear,,,negative,weak,opinion
مجتهد,trust,,active,positive,weak,opinion
بجد,trust,,,positive,weak,opinion
تضاءل,surprise,,,negative,,emolex
تناقص,surprise,,,negative,weak,mpqa
ضجيج,fear,,,negative,weak,emolex
وجبة عشاء,joy,,,positive,,emolex
برخص التراب,joy,,,positive,,opinion
الأوساخ,Disgust,,,negative,,opinion
خلاف,fear,,,negative,strong,opinion
مساوئ,sadness,,,negative,strong,opinion
المحرومين,sadness,,,negative,weak,opinion
كريه,Disgust,,,negative,strong,opinion
اختلف,fear,,,negative,,opinion
يعترض,fear,,,negative,,opinion
بخيبة,sadness,,,negative,,opinion
اختفاء,fear,,passive,,,inquirer
اختفاء,surprise,,passive,,,inquirer
مخيب للآمال,sadness,,,negative,strong,opinion
خيبات الأمل,sadness,,,negative,,opinion
خيبة أمل,sadness,,,negative,,opinion
نزع السلاح,trust,,active,negative,weak,opinion
جرده من ملابسه,sadness,,,negative,strong,opinion
نزع السلاح,trust,,active,,,inquirer
جرده من ملابسه,Disgust,,,negative,strong,opinion
تنصل من,fear,,,negative,strong,opinion
جحود,anger,,,negative,strong,opinion
كفر,anger,,,negative,strong,emolex
كافر,anger,,,negative,strong,opinion
إبراء الذمة,trust,,active,negative,,emolex
تنصل,fear,black,,,,colour
كشف,surprise,grey,,,,colour
أمرا مقلقا,fear,,,negative,strong,opinion
مقلق,anticipation,,,negative,strong,opinion
انفصال,fear,,,negative,,emolex
بائس,sadness,,,negative,strong,opinion
تثبيط,anger,,,negative,strong,emolex
معوق عن,sadness,,,negative,strong,opinion
اكتشف,joy,orange,,,,colour
اكتشاف,trust,,,positive,,emolex
تمييزي,joy,,,negative,strong,opinion
نقاش,fear,,,positive,,emolex
ازدرى,Disgust,,,negative,,opinion
مترفع,anger,,,negative,strong,opinion
مخزية,anger,,,negative,strong,opinion
تمويه,fear,black,,,,colour
مشمئز,anticipation,,,negative,strong,opinion
مقرف,Disgust,,,negative,strong,opinion
غير شريفة,anger,,,negative,strong,opinion
شائن,anger,,,negative,strong,opinion
تحرير من الوهم,trust,,,negative,strong,opinion
خيبة الأمل,sadness,,,negative,strong,opinion
بمكر,anger,,,negative,strong,opinion
فاسد,anger,,,negative,,opinion
لا مبالاة,diger,,,negative,strong,opinion
نزيه,trust,,,negative,weak,emolex
غير وفي,anger,,,negative,strong,opinion
غير وفي,Disgust,,,negative,strong,opinion
بالفزع,surprise,,,negative,strong,opinion
رعبا,fear,,,negative,strong,opinion
إثارة للرعب,fear,,,negative,strong,opinion
تبرأ من,anger,,,negative,strong,opinion
باستخفاف,Disgust,,,negative,strong,opinion
وقع الكآبة في النفس,sadness,,,negative,strong,opinion
تحطيم المعنويات,sadness,,,negative,strong,opinion
أثار الاستياء,sadness,,passive,negative,strong,opinion
الاستياء,anticipation,,,negative,strong,opinion
المتنازع عليها,anger,,,negative,strong,opinion
تجريد من الأهلية,sadness,,,negative,,emolex
مهمل,Disgust,,,negative,strong,opinion
عديم الإحترام,anger,,,negative,strong,opinion
عدم احترام,Disgust,,,negative,strong,opinion
تعطيل,diger,,active,negative,strong,opinion
خلل وظيفي,fear,,,negative,strong,opinion
غير راض,anticipation,,,negative,strong,opinion
تبدد,fear,grey,,,,colour
تتبدد,fear,grey,,,,colour
المستهينة,anger,,,negative,strong,opinion
فاسق,Disgust,,,negative,strong,opinion
متنافر,anger,,,negative,strong,opinion
تميز,joy,,,positive,weak,emolex
مميز,joy,,,positive,weak,opinion
بوضوح,trust,,,,weak,mpqa
تميز,surprise,,,positive,weak,mpqa
متميز,surprise,white,,positive,strong,opinion
صرف الانتباه,fear,,active,negative,weak,emolex
إلهاء,fear,,,negative,strong,emolex
الخيبة,sadness,,,negative,strong,opinion
مرتاب,surprise,,,negative,strong,opinion
عدم الثقة,sadness,,,negative,strong,opinion
مسبب للخلاف,anger,,,negative,strong,opinion
الكلب,anger,brown,,,,colour
أليف,trust,yellow,,,,colour
منزل,trust,pink,,,,colour
هيمنة,anger,red,,negative,weak,mpqa
هيمنت,anger,,,positive,,opinion
يهيمن,anger,,,positive,,opinion
تبرع,trust,,active,positive,,inquirer
هبة,joy,green,,positive,,emolex
حب لدرجة الجنون,joy,,active,positive,strong,opinion
مشكوك فيه,fear,grey,,negative,strong,emolex
بارتياب,doger,,,negative,strong,opinion
مرتاب,fear,,,negative,,emolex
الشكوك,fear,,,negative,strong,opinion
محزونا,sadness,,,negative,strong,opinion
انحدار,sadness,,,negative,,opinion
الجانب السلبي,anger,,,negative,strong,opinion
الركود,sadness,,,negative,,opinion
ناعم,joy,,,positive,,emolex
شديدة القسوة,anger,,,negative,strong,opinion
شديدة القسوة,sadness,,,negative,strong,opinion
استنزفت,sadness,,,negative,,opinion
استنزاف,anger,,,negative,,opinion
دراما,joy,,,negative,strong,mpqa
الفزاعة,fear,,,negative,strong,opinion
حلم,joy,,passive,positive,weak,mpqa
حالم,joy,blue,passive,,,inquirer
ارض الاحلام,joy,,,positive,strong,opinion
أحلام,joy,,,positive,weak,mpqa
حلمت,joy,,passive,,,inquirer
حالم,anticipation,,,positive,weak,mpqa
شخص غير مستقر,fear,,passive,,,inquirer
قيادة,trust,,active,positive,weak,mpqa
طائرات بدون طيار,fear,,,negative,strong,opinion
أوقع,surprise,,,negative,,opinion
قاد,trust,,active,,,inquirer
غرق,sadness,,,negative,weak,opinion
نعاس,surprise,,passive,negative,,emolex
سكران,Disgust,,passive,negative,strong,opinion
سكير,Disgust,,,negative,strong,opinion
السكر,Disgust,,,negative,,emolex
المخبأ,trust,brown,,,,colour
صعق,surprise,,,negative,strong,opinion
صعق,fear,,,positive,strong,opinion
الإغراق,surprise,,,negative,,opinion
كميت,sadness,,,negative,,emolex
الأبراج المحصنة,trust,,,negative,strong,opinion
غبار,fear,brown,,negative,,emolex
خرقة,sadness,grey,,,,colour
بلهفة,joy,,,positive,strong,opinion
جدي,trust,,,positive,strong,emolex
سهل الاستخدام,joy,,,positive,,opinion
عيشة رغيدة,joy,yellow,,positive,strong,emolex
يتناول الطعام,joy,green,,,,colour
حماسة,joy,,,positive,strong,opinion
متحمس,joy,,,positive,strong,opinion
غريب الأطوار,fear,,,negative,weak,opinion
غرابة,fear,,,negative,weak,opinion
كسوف,sadness,black,,,,colour
اقتصادي,trust,brown,,positive,weak,opinion
اقتصاديات,trust,green,,,,colour
اقتصد,trust,,active,positive,,inquirer
النشوات,joy,,,positive,strong,opinion
مبتهجا,joy,,,positive,strong,opinion
منفعل,surprise,,,negative,strong,mpqa
صالح للأ كل,joy,,,positive,,inquirer
ثقف,trust,,,positive,strong,opinion
الافتتاحية,joy,black,,,,colour
قابل للتعليم,trust,,,positive,weak,mpqa
تعليم,trust,,active,positive,,emolex
متعلم,trust,,,positive,weak,emolex
التعليم,trust,,,positive,,inquirer
تأثير,fear,,passive,,,inquirer
على نحو فعال,trust,,,positive,weak,opinion
فعالية,trust,,active,positive,weak,opinion
فعال,trust,,,positive,weak,opinion
مخنث,Disgust,pink,,negative,,emolex
بكفاءة,joy,,,positive,,opinion
بدون جهد,fear,,,positive,strong,opinion
وقاحة,anger,,,negative,strong,opinion
خدعني,anger,,,positive,strong,opinion
أناني,anger,,,negative,strong,opinion
أناني,Disgust,,,negative,strong,opinion
نرجسية,anger,,,negative,strong,opinion
غرور,anger,,,negative,strong,opinion
فاضح,anger,,,negative,strong,opinion
قذف المني,surprise,,,negative,strong,mpqa
قذف المني,joy,,,negative,strong,mpqa
الاكبر سنا,trust,grey,,,,colour
انتخاب,surprise,,active,,,inquirer
بظرافة,joy,,,positive,strong,opinion
بلاغة,trust,,,positive,strong,emolex
ببلاغة,trust,,,positive,strong,opinion
تملص,Disgust,green,,,,colour
تملص,anger,green,,,,colour
محرج,surprise,,,negative,strong,emolex
إلى حد مربك,surprise,,,negative,strong,opinion
في ورطة مخرب,sadness,,,negative,weak,opinion
اختلاس,anger,,,negative,,emolex
شجع,trust,,,positive,weak,opinion
ورط,anger,,,negative,strong,opinion
متورط,fear,,,negative,strong,emolex
تورط,fear,,,negative,strong,opinion
زمرد,joy,green,,,,colour
فخري,joy,,,positive,,emolex
بارز,trust,,,positive,,emolex
أمير,trust,,,positive,,emolex
المشاعر,joy,red,passive,,strong,mpqa
عاطفي,joy,,passive,negative,strong,mpqa
العواطف,joy,,,,weak,mpqa
التعاطف,trust,,,positive,strong,opinion
العطف,trust,,,positive,strong,emolex
التأكيد على,trust,,,,weak,mpqa
مؤكد,trust,,active,negative,strong,opinion
بشكل قاطع,trust,,,negative,strong,opinion
فارغة,sadness,,active,negative,weak,mpqa
فارغة,surprise,,active,negative,weak,mpqa
يسن قانون,trust,,active,,,inquirer
تشريع,trust,,active,,,inquirer
بهيج,joy,,,positive,strong,opinion
سحر,joy,purple,,positive,,inquirer
وسيم,surprise,green,,positive,,emolex
تشجيع,joy,white,active,positive,strong,emolex
تشجيع,surprise,,,positive,strong,opinion
مشجع,joy,,,positive,strong,opinion
تجاوز,surprise,,,negative,weak,opinion
النهاية,surprise,,active,,,inquirer
مات,sadness,,active,positive,strong,opinion
التحبيب,joy,,,positive,strong,opinion
تأييد,trust,,,positive,strong,opinion
أيد,trust,,,positive,,opinion
المصادقة,trust,,,positive,strong,opinion
مجير,trust,,,positive,strong,mpqa
تؤيد,trust,,,positive,,opinion
تأييد,trust,,,positive,,opinion
موهوب,joy,,,positive,,emolex
نقطة النهاية,sadness,yellow,,,,colour
لا يطاق,anger,,,positive,strong,mpqa
قدرة التحمل,surprise,,,positive,,emolex
تحمل,surprise,,passive,positive,strong,emolex
مستمر,surprise,,,positive,strong,mpqa
أعداء,sadness,,,negative,weak,opinion
نشيط,joy,red,active,positive,weak,emolex
تنشيط,joy,,active,positive,weak,opinion
كفاءة الطاقة,trust,,,positive,,opinion
توفير الطاقة,trust,,,positive,,opinion
واهن,sadness,,,negative,strong,opinion
أضعف,sadness,,,negative,strong,opinion
اشعال,anger,,,negative,strong,opinion
 المحسن,ensoa,,,positive,weak,opinion
التعزيز,ensoa,,,positive,weak,opinion
ممتع,joy,,,positive,strong,opinion
بمتعه,joy,,,positive,strong,opinion
استمتعت,joy,,,positive,,opinion
متعة,joy,,passive,positive,strong,opinion
تتمتع,joy,,,positive,,opinion
الفظاعات,anger,,,negative,strong,mpqa
ضخامة,surprise,black,,negative,strong,mpqa
ضخم,surprise,,,negative,strong,mpqa
بشكل هائل,surprise,,,negative,strong,mpqa
إغاظة,anger,,,negative,,opinion
بهج جدا,joy,,,positive,weak,opinion
أبهج,joy,,,positive,strong,opinion
إثراء,joy,,active,positive,weak,emolex
حامل الراية,trust,,,positive,,emolex
استعبد,anger,,,negative,strong,emolex
استعباد,anger,black,,negative,,emolex
التأكد من,trust,,,positive,weak,mpqa
وقع في الشرك,fear,,,negative,weak,opinion
تشابك,engea,,,negative,weak,emolex
مشروع - مغامرة,fear,,active,,,inquirer
مغامر,fear,,,positive,weak,emolex
يسلي,joy,,,positive,,opinion
فتن,anger,,,positive,strong,opinion
فتن,fear,,,positive,strong,opinion
مستعبد,sadness,,,positive,strong,opinion
حمس,joy,,,positive,strong,opinion
متحمس,joy,,,positive,strong,opinion
بحماس,joy,,,positive,strong,opinion
جذب,surprise,,,positive,strong,opinion
أغراه,surprise,,,positive,,opinion
جذاب,joy,,,positive,strong,opinion
خلاب,joy,,,positive,strong,opinion
اصطاد,joy,,,negative,strong,opinion
انحباس,sadness,,,negative,strong,opinion
توسل,sadness,,,positive,strong,mpqa
تحصن,trust,,,,strong,mpqa
الأعمال الحرة,trust,,,positive,,inquirer
مرغوب فيه جدا,joy,,,positive,strong,opinion
يثير الحسد,fear,,,positive,strong,opinion
حسود,fear,green,,negative,strong,emolex
الحسد,fear,,,negative,strong,opinion
الحسد,Disgust,,,negative,strong,opinion
بيئة,joy,green,,,,colour
رسول الله,trust,white,,,,colour
حالة توازن,trust,,,positive,,emolex
التعرية,anger,brown,,negative,weak,emolex
أخطأ,sadness,,active,negative,strong,emolex
هائم على وجهه,sadness,blue,,negative,weak,emolex
عشوائيا,fear,,,negative,strong,opinion
خطأ مطبعي,fear,,,negative,,emolex
خاطئ,anger,,,negative,strong,emolex
خطأ,anger,,,negative,strong,opinion
أخطاء,sadness,,,negative,,opinion
واسع المعرفة,trust,,,positive,strong,emolex
سلم كهربائى,fear,grey,,,,colour
مغامرة,fear,,,negative,weak,opinion
جرف,surprise,brown,,,,colour
مقصور على فئة معينة,anger,black,,negative,weak,mpqa
تجسس,fear,black,,negative,,emolex
تقدير,trust,yellow,,,,colour
تقدير,joy,grey,,,,colour
المبعدة,sadness,brown,,negative,strong,emolex
مصب النهر,surprise,blue,,,,colour
أبدي,trust,,,negative,weak,mpqa
خلود,trust,,,positive,strong,mpqa
الأثير,trust,white,,,,colour
الأثير,joy,,,positive,strong,emolex
أخلاقي,trust,white,,positive,,emolex
أخلاق,trust,,,positive,,inquirer
آداب,trust,,,positive,strong,opinion
مدح,joy,,,positive,strong,opinion
النشوة,joy,,,positive,strong,opinion
البهيجة,joy,,,positive,strong,opinion
مراوغ,fear,,,positive,weak,mpqa
بالتساوي,trust,,,positive,weak,opinion
زاخر بالأحداث,joy,,,positive,strong,emolex
الشرور,anger,,,negative,strong,opinion
نزع الاحشاء,Disgust,,,positive,strong,opinion
تطور,joy,green,passive,,,inquirer
تتطور,joy,white,,,,colour
تفاقم,sadness,,active,positive,strong,mpqa
دقيق,trust,,,negative,weak,emolex
مرهق,sadness,,,,strong,mpqa
فحص,trust,,,positive,,opinion
قدوة,trust,,,negative,strong,opinion
أسخط,anger,,,negative,,opinion
باستياء,Disgust,,,negative,strong,opinion
ساخط,surprise,,,negative,strong,opinion
تجاوزت,trust,red,,positive,strong,opinion
تجاوز,trust,,,positive,strong,opinion
ممتازة,trust,,,positive,,opinion
معاليكم,trust,,,positive,,opinion
سعادة,joy,,,positive,strong,opinion
ممتاز,joy,,,positive,,opinion
تتفوق,joy,,,positive,strong,opinion
استثنائي,joy,,,positive,strong,opinion
استثنائي,trust,,,negative,,emolex
مفرط، متطرف، متهور,fear,,,negative,strong,opinion
بإفراط,fear,white,,negative,,emolex
ضريبة,fear,,,positive,,emolex
سريع الانفعال,anger,,,positive,strong,opinion
بحماس,joy,,,positive,strong,opinion
عذر,anger,,,negative,weak,opinion
أعذار,anger,,,negative,strong,opinion
ممارسه الرياضه,joy,,active,,,inquirer
بذل,trust,grey,,positive,,inquirer
مجهود,trust,white,,,,colour
منعش,joy,,,positive,strong,opinion
وعظ,trust,,,positive,,emolex
عظة,trust,,,positive,,emolex
باهظ,surprise,,,negative,strong,opinion
باهظة,surprise,black,,,,colour
طارد الارواح الشريرة,fear,purple,,positive,,emolex
غريب,fear,,active,,,inquirer
مغترب,sadness,,,negative,weak,mpqa
على وجه السرعة,surprise,,active,,,inquirer
أنفق,surprise,green,,negative,,emolex
المصروفات,surprise,,,negative,,emolex
نفقات,surprise,,,negative,weak,opinion
مكلفة,surprise,,passive,positive,,inquirer
تجربة,trust,,passive,,,inquirer
خبرة,trust,,passive,,,inquirer
منتهية الصلاحية,anger,black,,,,colour
منتهية الصلاحية,fear,black,,,,colour
انقضاء,surprise,,active,,,inquirer
تفسير,trust,,,positive,strong,mpqa
صريح,trust,,,positive,strong,mpqa
صراحة,trust,orange,active,negative,strong,opinion
استغلال,Disgust,,,negative,strong,opinion
استغلال,anger,,active,,,inquirer
استكشاف,joy,,active,,,inquirer
مستكشف,trust,grey,,,,colour
مصادرة,anger,,,negative,weak,emolex
مصادرة,surprise,,,negative,weak,opinion
رائع,joy,blue,,,,colour
على نطاق واسع,trust,,passive,positive,strong,opinion
مجد,joy,,,positive,strong,opinion
ابتزاز,anger,,,negative,strong,opinion
ابتزاز,Disgust,grey,,positive,,emolex
غير جوهري,surprise,,,positive,strong,opinion
غير عادي,surprise,,,positive,strong,emolex
استثنائي,trust,,active,,,inquirer
تبذير,fear,,,negative,strong,opinion
مفرط,fear,,,negative,strong,opinion
باسراف,fear,,,negative,weak,mpqa
أقصى,trust,,,negative,strong,mpqa
جدا,trust,,,negative,weak,opinion
التطرف,fear,,,negative,weak,opinion
متطرف,fear,,,negative,weak,opinion
المتطرفين,fear,black,,negative,,emolex
التطرف,anger,,,negative,strong,opinion
متطرف,anger,,,negative,strong,opinion
المتطرفين,anger,black,,negative,strong,emolex
التطرف,Disgust,,,negative,strong,opinion
متطرف,Disgust,,,negative,strong,opinion
المتطرفين,Disgust,black,,negative,strong,emolex
جذلا,trust,,,positive,strong,opinion
تهلل,joy,,passive,positive,strong,opinion
مبتهج,joy,,,positive,,opinion
ابتهاج,joy,,passive,positive,strong,opinion
لافتة للنظر,joy,,,positive,,opinion
لافتة للنظر,surprise,,,positive,,opinion
أسطورة,joy,purple,,,,colour
خرافي,joy,,,positive,strong,opinion
طريف,joy,,,negative,strong,opinion
بمرح,joy,,,negative,strong,opinion
واقعي,trust,,,positive,weak,mpqa
تلاشى,fear,brown,passive,negative,,emolex
تلاشى,surprise,grey,,,,colour
اغمى عليه,sadness,,passive,negative,weak,opinion
بأمانة,trust,,,positive,strong,opinion
الإخلاص,trust,,,positive,strong,opinion
مزورة,anger,,,negative,strong,emolex
مزورة,fear,,,negative,strong,emolex
مغالطات,anger,,,negative,strong,opinion
باطل,fear,,,negative,strong,opinion
خواء,fear,,,negative,strong,opinion
مغالطة,fear,,,negative,strong,emolex
باطل,anger,,,negative,strong,opinion
خواء,anger,,,negative,strong,opinion
مغالطة,anger,,,negative,strong,emolex
باطل,Disgust,,,negative,strong,opinion
خواء,Disgust,,,negative,strong,opinion
مغالطة,Disgust,,,negative,strong,emolex
ساقط,Disgust,,,negative,,opinion
عرضة للخطأ,fear,,,negative,,emolex
يسقط,surprise,,,negative,strong,opinion
السقوط,fear,,,negative,,opinion
خاطئة,anger,,,negative,strong,opinion
على نحو زائف,fear,grey,,negative,strong,emolex
على نحو زائف,Disgust,grey,,negative,strong,emolex
تعثر,surprise,,,negative,,opinion
شهرة,joy,,,positive,strong,emolex
مشهور,joy,purple,,positive,weak,opinion
اشتهر,joy,,,positive,strong,emolex
متعصب,fear,red,,negative,strong,emolex
متعصب,anger,,,negative,strong,opinion
بتعصب,Disgust,,,negative,strong,opinion
المتعصبون,fear,,,negative,strong,opinion
هاوى تربية الكلاب,joy,,,positive,,opinion
خيالي,joy,,,negative,strong,opinion
المشجعين,joy,,,positive,,opinion
فنتازية لحن موسيقيي,joy,yellow,,,,colour
خيالي,joy,,,positive,strong,opinion
خيال,joy,,,positive,strong,mpqa
بعيد الإحتمال,anticipation,,,negative,strong,opinion
مهزلة,anger,,,negative,strong,emolex
هزلية ولكن في ذات استفزازية,anger,,,negative,strong,opinion
هزلية,joy,,,negative,strong,opinion
توديع,sadness,blue,,,,colour
بعيد المنال,sadness,,,negative,strong,opinion
فاشية,anger,,,negative,strong,opinion
فاشي,anger,,,negative,strong,opinion
موضه,joy,brown,,,,colour
الموضة,joy,red,,positive,strong,emolex
عصريا,joy,,,positive,strong,opinion
بسرعة,surprise,,active,positive,weak,opinion
سريع النمو,trust,,,positive,weak,opinion
خطى سريعة,surprise,,,positive,weak,opinion
قفل,,grey,,,,colour
الأسرع نموا,surprise,,,positive,weak,opinion
شديد الحساسية,sadness,,,negative,strong,opinion
على نحو صعب,sadness,,,negative,strong,opinion
على نحو مهلك,sadness,,,negative,weak,opinion
سبر الغور,trust,blue,active,positive,weak,mpqa
لا يسبر غوره,trust,,,negative,strong,opinion
إعياء,sadness,black,passive,negative,weak,emolex
الحيوانات,joy,brown,,,,colour
الصوت العربي الحر,trust,,,positive,strong,opinion
الصوت العربي الحر,joy,,,positive,,opinion
محاباة,joy,,passive,positive,weak,opinion
مفضل,joy,,,positive,weak,opinion
تفضيلا,joy,,,positive,,opinion
محسوبية,anger,,,positive,,emolex
محاباة,surprise,,,positive,strong,opinion
دون خوف,trust,,,positive,strong,opinion
المخاوف,fear,,,negative,strong,opinion
مخيف,fear,,,negative,strong,opinion
حمي متعلق بالحمى,sadness,red,,negative,,emolex
خفيف العقل,fear,,,negative,strong,opinion
تغذية,trust,green,,,,colour
مغذي,joy,white,,,,colour
يشعر,anticipation,white,passive,,strong,mpqa
مشاعر,anticipation,,,,strong,mpqa
يشعر,anticipation,,,,strong,mpqa
اختلق,anger,,active,negative,weak,opinion
مكر,Disgust,,active,negative,weak,opinion
هنأ,joy,,,positive,strong,opinion
موفق,joy,,,positive,strong,opinion
إجرامي,anger,,,negative,weak,opinion
جناية,anger,,,negative,,emolex
شعور,anticipation,brown,,,strong,mpqa
بشراسة,anger,,,negative,strong,opinion
خصب,joy,pink,,positive,weak,emolex
متقد,anger,red,,positive,strong,opinion
كريه الرائحة,Disgust,,,negative,strong,opinion
كذاب,Disgust,,,negative,strong,opinion
العابث,fear,brown,,,,colour
تململ,surprise,,active,negative,strong,opinion
متململ,fear,,,negative,strong,opinion
رئيس صوري,fear,,,negative,weak,opinion
فيلم,joy,grey,active,,,inquirer
بالخدعة,anger,,,negative,weak,opinion
خاتمة,sadness,black,,,,colour
النهائية,sadness,black,,,,colour
المالية,trust,green,,,,colour
الأمور المالية,trust,green,,,,colour
خبير مالي,trust,green,,,,colour
